Link,Headline,Details,Source
https://www.investors.com/market-trend/stock-market-today/stock-market-rally-rotation-coronavirus-cases-soar-qualcomm-buy-point-apple-stock/?src=A00220,"Stock Market Rally Rotation Over As Coronavirus Cases Soar? Qualcomm Near Buy Point; Apple, Microsoft, Amazon Look Tired",Nov-21-20 05:21PM,Investor's Business Daily
https://finance.yahoo.com/news/apple-trying-water-down-bill-182654305.html,Apple Is Trying To 'Water Down' Bill Against Forced Labor In China: Washington Post,01:26PM,Benzinga
https://www.fool.com/investing/2020/11/21/apple-cuts-the-little-guys-a-break-will-it-be-enou/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Apple Cuts the Little Guys a Break. Will It Be Enough?,11:00AM,Motley Fool
https://www.fool.com/investing/2020/11/21/3-incredibly-cheap-5g-tech-stocks/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,3 Incredibly Cheap 5G Tech Stocks,08:30AM,Motley Fool
https://www.fool.com/investing/2020/11/21/microsofts-growth-engine-is-firing-on-all-cylinder/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Microsoft's Growth Engine is Firing on All Cylinders,06:45AM,Motley Fool
https://finance.yahoo.com/news/inflation-may-pick-sharply-060002710.html,Inflation May Be About to Pick Up Sharply,01:00AM,Bloomberg
https://www.barrons.com/articles/emerging-market-stocks-attract-big-cash-inflows-51605922201?siteid=yhoof2,Retail Investors Pour Money Into China Funds,Nov-20-20 08:30PM,Barrons.com
https://finance.yahoo.com/news/apple-asks-court-keep-secrets-195318671.html,Apple to AT&T Wary of Full Disclosure in Google Antitrust Case,06:05PM,Bloomberg
https://www.fool.com/investing/2020/11/20/5-stocks-that-will-press-on/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,5 Stocks That Will Press On,05:13PM,Motley Fool
https://www.investopedia.com/slug-placeholder-5088517?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,U.S. Equity Markets Continue to Fall as COVID-19 Cases Rise,04:47PM,Investopedia
https://www.investors.com/research/dow-jones-stocks/?src=A00220,"Dow Jones Stocks To Buy And Watch In November 2020: Apple, Microsoft Offer New Buy Points",04:38PM,Investor's Business Daily
https://finance.yahoo.com/news/apple-t-ask-tough-protection-212940852.html,"Apple, GroupM, others ask for tough protection for data in Google lawsuit",04:29PM,Reuters
https://finance.yahoo.com/news/apple-t-ask-tough-protection-212821124.html,"Apple, AT&T ask for tough protection for data in Google lawsuit",04:28PM,Reuters
https://www.investors.com/research/ibd-stock-of-the-day/qorvo-stock-forming-three-weeks-tight-pattern/?src=A00220,"Qorvo, IBD Stock Of The Day, Is Forming This Bullish Stock Chart Pattern",04:27PM,Investor's Business Daily
https://finance.yahoo.com/news/consumers-reacting-apples-iphone-12-203146369.html,How Consumers Are Reacting To Apple's iPhone 12 Lineup,03:31PM,Benzinga
https://www.investors.com/research/stock-picks-best-stocks-to-buy-and-watch/?src=A00220,"Stock Picks: Find The Best Growth Stocks To Buy With Lessons From Nvidia, Apple, Veeva",12:00PM,Investor's Business Daily
https://www.investors.com/market-trend/stock-market-today/dow-jones-stock-market-rally-coronavirus-restrictions-covid-vaccine-tesla-nio-stock/?src=A00220,"Dow Jones Falls Amid New Coronavirus Restrictions, Covid-19 Vaccine News; Nio, Tesla Eye Record Highs",11:53AM,Investor's Business Daily
https://www.barrons.com/articles/the-mall-isnt-dead-why-its-time-to-go-shopping-for-simon-property-stock-51605887581?siteid=yhoof2,The Mall Isnt Dead. Why Its Time to Buy Simon Property Stock.,11:48AM,Barrons.com
https://www.marketwatch.com/story/the-stock-market-is-advancing-without-help-from-the-faamngs-which-analysts-say-is-a-bullish-sign-11605886665?siteid=yhoof2,"The stock market is advancing without help from the FAAMNGs, which analysts say is a bullish sign",10:37AM,MarketWatch
https://www.barrons.com/articles/why-most-owned-stocks-in-mutual-funds-hedge-funds-are-likely-good-bets-51605823843?siteid=yhoof2,The Stocks the Pros Own Usually Beat the Market. Heres a List of Their 10 Most Popular Bets.,10:24AM,Barrons.com
https://finance.yahoo.com/news/goodrx-ceo-shakes-off-5-132425571.html,GoodRx CEO Shrugs Off $5 Billion Dive on Amazon Pharma Move,10:04AM,Bloomberg
https://finance.yahoo.com/news/30-richest-cities-united-states-145838363.html,30 Richest Cities in the United States,09:58AM,Insider Monkey
https://www.investopedia.com/apple-aapl-reaches-settlement-over-iphone-batterygate-5088300?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,Apple (AAPL) Reaches Settlement Over iPhone 'Batterygate',08:36AM,Investopedia
https://www.fool.com/investing/2020/11/20/forget-apple-stocks-better-on-digital-data-privacy/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Forget Apple. These 5 Stocks Are a Better Bet on New Digital Data Privacy Standards,07:45AM,Motley Fool
https://www.investors.com/etfs-and-funds/mutual-funds/best-mutual-funds-top-fund-shuns-apple-facebook-netflix/?src=A00220,"This Top-Performing Mutual Fund Shuns Apple, Facebook, Netflix",07:00AM,Investor's Business Daily
https://finance.yahoo.com/news/apple-verizon-join-hands-encourage-082240487.html,"Apple, Verizon Join Hands To Encourage Enterprise Upgrade To 5G, iPhone 12",03:22AM,Benzinga
https://www.fool.com/investing/2020/11/19/verizon-and-apple-announce-5g-fleet-swap-to-promot/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,"Verizon and Apple Announce ""5G Fleet Swap"" to Promote Upgrade to iPhone 12",Nov-19-20 08:01PM,Motley Fool
https://finance.yahoo.com/news/apple-defends-delay-privacy-feature-003414834.html,"Apple Defends Delay of Privacy Feature, Slams Facebook",07:34PM,Bloomberg
https://finance.yahoo.com/news/gillmor-gang-apple-tacks-230111136.html,Gillmor Gang: Apple Tacks,06:01PM,TechCrunch
https://www.investopedia.com/u-s-equity-markets-rise-as-tech-shares-lead-5088401?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,U.S. Equity Markets Rise as Tech Shares Lead,05:33PM,Investopedia
https://finance.yahoo.com/news/black-friday-2020-tips-210108298.html,Black Friday 2020: Tips for buying the best tech gifts,04:01PM,Yahoo Finance
https://finance.yahoo.com/news/verizon-apple-partner-swap-corporate-195843067.html,"Verizon, Apple partner to swap out corporate-owned phones for 5G iPhones",02:58PM,Reuters
https://www.fool.com/investing/2020/11/19/apple-caves-on-app-store-fees/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Apple Caves on App Store Fees,01:31PM,Motley Fool
https://www.thestreet.com/investing/google-stadia-will-be-available-for-ios-soon?puc=yahoo&cm_ven=YAHOO,Google Stadia Will Be Available for iOS Soon,01:12PM,TheStreet.com
https://finance.yahoo.com/news/sonos-ceo-on-skyrocketing-stock-price-we-have-an-inflection-point-171647166.html,Sonos CEO on skyrocketing stock price: 'We have an inflection point',12:16PM,Yahoo Finance
https://www.investors.com/market-trend/stock-market-today/dow-jones-stock-market-rally-tesla-stock-buy-point-nvidia-earnings/?src=A00220,"Dow Jones Extends Losses After Market Sell-Off; Tesla Jumps To Record High, But Nvidia Drops On Earnings",12:06PM,Investor's Business Daily
https://finance.yahoo.com/news/smart-home-robotics-startup-adds-170524888.html,"Smart Home Robotics Startup Adds Ex-Apple Car, Operations Execs",12:05PM,Bloomberg
https://finance.yahoo.com/video/tech-support-buy-black-friday-164456174.html,Tech Support: What to buy on Black Friday,11:44AM,Yahoo Finance Video
https://finance.yahoo.com/news/dow-slips-concerns-over-recovery-133417266.html,"Dow Cuts Losses on Tech Strength, Stimulus Hopes",10:47AM,Investing.com
https://www.barrons.com/articles/sonoss-blowout-quarter-and-ambitious-outlook-has-wall-street-gushing-51605800563?siteid=yhoof2,Sonoss Blowout Quarter and Ambitious Outlook Has Wall Street Gushing. The Stock Is Surging.,10:42AM,Barrons.com
https://finance.yahoo.com/news/apple-aapl-cuts-app-store-153203900.html,Apple (AAPL) Cuts App Store Fees to Aid Small App Developers,10:32AM,Zacks
https://www.fool.com/investing/2020/11/19/near-a-3-year-low-is-intel-stock-a-buy/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,"Near a 3-Year Low, Is Intel Stock a Buy?",10:25AM,Motley Fool
https://www.barrons.com/articles/why-facebook-apple-amazon-com-alphabet-and-microsoft-arent-overvalued-51605785400?siteid=yhoof2,"Facebook, Apple and Other Big Tech Stocks Arent Too Expensive. Heres Why.",10:16AM,Barrons.com
https://finance.yahoo.com/news/nvidia-epic-bring-fortnite-back-143208337.html,"Nvidia, Epic to bring 'Fortnite' back to iPhones in 'near future'",09:32AM,Reuters
https://www.fool.com/investing/2020/11/19/snapchat-wants-to-blow-your-mind-with-augmented-re/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Snapchat Wants to Blow Your Mind With Augmented Reality,08:30AM,Motley Fool
https://www.investopedia.com/apple-aapl-slashes-commissions-for-small-app-developers-5088177?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,Apple (AAPL) Slashes Commissions for Small App Developers,08:23AM,Investopedia
https://www.barrons.com/articles/best-buy-earnings-will-shine-heres-what-they-mean-for-the-stock-51605790801?siteid=yhoof2,Best Buy Earnings Will Shine Next Week. Heres What They Mean for the Stock.,08:00AM,Barrons.com
https://finance.yahoo.com/news/apples-15-store-fee-cut-091556877.html,"Apple's 15% Store Fee Cut Attempt At Skirting Scrutiny By Doing The Bare Minimum, Says Epic CEO",04:15AM,Benzinga
https://finance.yahoo.com/news/apple-announces-second-annual-apple-050000476.html,Apple Announces Second Annual Apple Music Awards,12:00AM,Business Wire
https://finance.yahoo.com/news/tsmc-wins-approval-phoenix-12-004020525.html,TSMC Wins Approval From Phoenix for $12 Billion Chip Plant,Nov-18-20 09:59PM,Bloomberg
https://finance.yahoo.com/news/apple-pay-us-states-113m-023507073.html,Apple To Pay US States $113M To Settle Allegations It Deliberately Slowed Down Older iPhones,09:35PM,Benzinga
https://finance.yahoo.com/news/mac-optimized-tensorflow-flexes-m1-223820205.html,Mac-optimized TensorFlow flexes new M1 and GPU muscles,05:38PM,TechCrunch
https://finance.yahoo.com/video/dow-suffers-worst-loss-3-223113415.html,Dow suffers worst loss in 3 weeks  YF Premium is bullish on Home Depot (HD),05:31PM,Yahoo Finance Video
https://finance.yahoo.com/news/apple-pay-113-million-settle-222132116.html,Apple to Pay $113 Million in Settlement With States Over iPhone Battery Slowdowns,05:21PM,Variety
https://www.investors.com/news/technology/app-store-fees-cut-small-developers-apple-stock/?src=A00220,"Apple Caves To Criticism, Cuts App Store Fees For Small Developers",04:40PM,Investor's Business Daily
https://finance.yahoo.com/video/bull-market-lpl-financials-ryan-213227738.html,'This is a new bull market': LPL Financial's Ryan Detrick,04:32PM,Yahoo Finance Video
https://www.barrons.com/articles/apple-slashes-small-business-app-store-fees-in-genius-pr-move-51605734728?siteid=yhoof2,Apple Slashes Small-Business App Store Fees in Genius PR Move,04:25PM,Barrons.com
https://finance.yahoo.com/news/apple-pay-113-million-resolve-201735309.html,Apple to Pay $113 Million to Resolve Claims Over iPhone Battery,03:40PM,Bloomberg
https://finance.yahoo.com/news/foldable-apple-iphone-coming-2022-200624655.html,Foldable Apple iPhone Coming In 2022: Report,03:06PM,Benzinga
https://finance.yahoo.com/news/charge-please-apple-pay-113m-192218059.html,"Charge, please: Apple will pay $113M to settle 34-state 'batterygate' lawsuit",02:22PM,TechCrunch
https://finance.yahoo.com/news/epic-games-founder-tim-sweeney-182334816.html,Epic Games founder Tim Sweeney likens fight against Apple to fight for civil rights,01:23PM,TechCrunch
https://realmoney.thestreet.com/investing/technology/apple-app-store-change-good-pr-little-financial-impact-15494028?puc=yahoo&cm_ven=YAHOO,Apple's App Store Change Is Good PR -- And Matters Little Financially,01:23PM,TheStreet.com
https://finance.yahoo.com/news/apple-u-states-reach-113-180435990.html,"Apple, U.S. states reach $113 million settlement on iPhone throttling",01:04PM,Reuters
https://finance.yahoo.com/news/apple-u-states-reach-113-180000993.html,"Apple, U.S. states reach $113 million settlement on iPhone throttling",01:00PM,Reuters
https://finance.yahoo.com/news/apple-cut-app-store-fees-110000003.html,Apple to Cut App Store Fees in Half for Most Developers,12:54PM,Bloomberg
https://finance.yahoo.com/news/apple-big-app-store-price-174841199.html,Apples Big App Store Price Cut Isn't Nearly Enough,12:48PM,Bloomberg
https://finance.yahoo.com/news/google-offer-checking-accounts-banks-174500151.html,Google to Offer Checking Accounts With Banks in Pay App Revamp,12:45PM,Bloomberg
https://www.investors.com/market-trend/stock-market-today/dow-jones-stock-market-rally-pfizer-coronavirus-vaccine-tesla-stock-upgrade-nio-earnings/?src=A00220,"Dow Jones Rallies On Pfizer Coronavirus Vaccine News; Tesla Surges Above Buy Point, While Nio Dives On Earnings",12:07PM,Investor's Business Daily
https://finance.yahoo.com/video/modifications-section-230-could-create-170111045.html,Modifications to Section 230 could create a greater risk of liability for Big Tech: NYU Professor,12:01PM,Yahoo Finance Video
https://finance.yahoo.com/news/apple-app-store-tax-cut-160501306.html,"Apple App Store Tax Cut for Small Developers Slammed by Spotify, Epic Games",11:05AM,Variety
https://www.fool.com/investing/2020/11/18/dow-jones-jumps-as-boeing-737-max-cleared-for-take/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,"Dow Jones Jumps as Boeing 737 MAX Cleared for Takeoff, Apple Cuts App Store Fees",10:55AM,Motley Fool
https://finance.yahoo.com/news/big-tech-backlash-means-ready-153002301.html,Big Tech Backlash Means Get Ready for Less Free Stuff,10:30AM,Bloomberg
https://www.fool.com/investing/2020/11/18/apple-seeks-to-mollify-critics-by-cutting-app-stor/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Apple Seeks to Mollify Critics by Cutting App Store Fees in Half,10:08AM,Motley Fool
https://www.thestreet.com/investing/apple-halves-app-store-commission-for-small-developers?puc=yahoo&cm_ven=YAHOO,Apple Cuts App Store Commission in Half for Small Developers,10:03AM,TheStreet.com
https://www.fool.com/investing/2020/11/18/the-remote-computing-boom-for-apples-mac-business/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,The Remote Computing Boom for Apple's Mac Business Remains Strong,09:15AM,Motley Fool
https://www.barrons.com/articles/target-reports-earnings-tomorrow-how-to-play-it-both-ways-51605635024?siteid=yhoof2,Target Reports Earnings Today. Theres a Stock Options Trade for That.,08:30AM,Barrons.com
https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-nio-earnings-tesla-buy-point-apple-stock-facebook-buy-point/?src=A00220,"Dow Jones Futures Rally 150 Points On Pfizer Coronavirus Vaccine News; Tesla Races Higher On Upgrade, While Nio Jumps On Earnings",08:08AM,Investor's Business Daily
https://finance.yahoo.com/news/apple-aapl-partners-chargepoint-vehicle-125312571.html,Apple (AAPL) Partners ChargePoint for Vehicle Charging Data,07:53AM,Zacks
https://www.fool.com/investing/2020/11/18/is-cognex-stock-a-buy/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Is Cognex Stock a Buy?,07:35AM,Motley Fool
https://www.fool.com/investing/2020/11/18/2-great-dividend-stocks-whose-payouts-could-double/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,2 Great Dividend Stocks Whose Payouts Could Double,06:46AM,Motley Fool
https://finance.yahoo.com/news/target-earnings-q3-2020-113159447.html,Target shocks investors again with COVID-19 fueled Q3 earnings blowout,06:31AM,Yahoo Finance
https://ca.finance.yahoo.com/news/apple-lower-app-store-fees-111551320.html,Apple to lower App Store fees for smaller developers,06:15AM,Reuters
https://finance.yahoo.com/news/apple-lower-app-store-fees-110000984.html,Apple to lower App Store fees for smaller developers,06:00AM,Reuters
https://finance.yahoo.com/news/apple-announces-app-store-small-110000477.html,Apple Announces App Store Small Business Program,06:00AM,Business Wire
https://finance.yahoo.com/news/apple-reveals-magsafe-duo-pricing-085501240.html,"Apple Reveals MagSafe Duo Pricing, Wattage, And It's A Tough Pill To Swallow",03:55AM,Benzinga
https://finance.yahoo.com/news/apple-supplier-foxconn-starts-making-085341421.html,Apple Supplier Foxconn Starts Making Displays In Vietnam While Wisconsin Plans Remain Unclear,03:53AM,Benzinga
https://www.fool.com/investing/2020/11/17/the-changing-face-of-fitness/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,The Changing Face of Fitness,Nov-17-20 05:59PM,Motley Fool
https://www.barrons.com/articles/apple-new-mac-chip-winning-raves-heres-what-it-means-for-investors-51605641502?siteid=yhoof2,Apples New Mac Chip Is Winning Raves. Heres What It Means for Investors.,02:38PM,Barrons.com
https://www.investors.com/research/warren-buffett-stocks/?src=A00220,Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio?,02:34PM,Investor's Business Daily
https://www.barrons.com/articles/apple-cut-its-spending-by-5-billion-what-it-means-for-the-stock-51605639401?siteid=yhoof2,Apple Has Cut $5 Billion From Its Spending. What That Means for the Stock.,01:56PM,Barrons.com
https://www.thestreet.com/investing/apples-m1-macs-blow-away-intel-models-in-first-reviews?puc=yahoo&cm_ven=YAHOO,Apple's M1-Powered Macs Blow Away Intel-Powered Models in First Reviews,01:18PM,TheStreet.com
https://finance.yahoo.com/news/warren-buffett-sells-apple-stock-173121570.html,"Warren Buffett Sells Some Apple Stock, But These Investors Don't Think He's Done With The Tech Giant",12:31PM,Benzinga
https://www.investors.com/market-trend/stock-market-today/dow-jones-stock-market-rally-tesla-stock-nio-stock-home-depot-earnings-walmart-earnings/?src=A00220,"Dow Jones Tumbles, Retail Sales Weak; Nio Jumps Before Earnings, While Tesla Surges On S&P 500 Inclusion",12:00PM,Investor's Business Daily
https://www.fool.com/investing/2020/11/17/should-apple-investors-panic-over-buffetts-4-billi/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Should Apple Investors Panic Over Buffett's $4 Billion Sale?,10:00AM,Motley Fool
https://www.fool.com/investing/2020/11/17/can-the-iphone-12-drive-a-rebound-for-apple-in-chi/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,Can the iPhone 12 Drive a Rebound for Apple in China?,10:00AM,Motley Fool
https://finance.yahoo.com/news/tesla-join-p-500-next-095354057.html,Tesla to Join S&P 500 Next Month as Largest-Ever New Member,09:51AM,Bloomberg
https://finance.yahoo.com/news/zacks-analyst-blog-highlights-google-142902465.html,"The Zacks Analyst Blog Highlights: Google, Lenovo, Apple, Hewlett Packard Enterprise and Dell",09:29AM,Zacks
https://finance.yahoo.com/news/yeah-apple-m1-macbook-pro-140113087.html,"Yeah, Apples M1 MacBook Pro is powerful, but its the battery life that will blow you away",09:01AM,TechCrunch
https://finance.yahoo.com/news/macbook-air-m1-review-apple-140029287.html,MacBook Air M1 review: The right Apple Silicon Mac for most,09:00AM,TechCrunch
https://finance.yahoo.com/news/apple-macbook-pro-13-review-m1-processor-versus-intel-140006846.html,Apple MacBook Pro 13-inch review: How the new M1 chip stacks up to Intels,09:00AM,Yahoo Finance
